Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Germ-P4S1-GR24-a_S181.16S.R2	14.813184878757207	48.86678695594768
Germ-P4S1-GR24-b_S182.16S.R1	19.848207052402678	54.95245810770468
Germ-P4S1-GR24-b_S182.16S.R2	22.17626742847397	41.56824286871617
Germ-P4S1-GR24-c_S183.16S.R1	14.637093294209027	63.65754725122987
Germ-P4S1-GR24-c_S183.16S.R2	17.17873478898766	54.71649262104079
Germ-P4S1-Tabac-a_S232.16S.R1	10.642218327266189	65.08022111365786
Germ-P4S1-Tabac-a_S232.16S.R2	12.20169880005393	54.658217608197404
Germ-P4S1-Tabac-b_S233.16S.R1	13.467164329668114	62.37264198527186
Germ-P4S1-Tabac-b_S233.16S.R2	15.852920407545648	48.3002118430344
Germ-P4S1-Tabac-c_S234.16S.R1	10.399555099247092	64.97689938398356
Germ-P4S1-Tabac-c_S234.16S.R2	12.427275838466803	53.49075975359343
Germ-P6S1-ACN-a_S184.16S.R1	16.352457163524573	62.593245625932454
Germ-P6S1-ACN-a_S184.16S.R2	19.720602197206023	54.053076540530796
Germ-P6S1-ACN-b_S185.16S.R1	18.883604967911722	61.036982316819845
Germ-P6S1-ACN-b_S185.16S.R2	23.454453114178865	51.44743524631791
Germ-P6S1-ACN-c_S186.16S.R1	19.682230869001298	59.55469087764814
Germ-P6S1-ACN-c_S186.16S.R2	23.184176394293125	50.545827929096454
Germ-P6S1-Chanvre-a_S235.16S.R1	14.179592599514109	61.31096991216596
Germ-P6S1-Chanvre-a_S235.16S.R2	16.73051766025042	51.67258456363293
Germ-P6S1-Chanvre-b_S236.16S.R1	16.70958124407101	61.75633554682204
Germ-P6S1-Chanvre-b_S236.16S.R2	20.99652166056828	51.65108189908298
Germ-P6S1-Chanvre-c_S237.16S.R1	24.18921262573708	55.892299687825144
Germ-P6S1-Chanvre-c_S237.16S.R2	29.314082552896288	44.506590357266724
