sample,date,molecules,EC50,Sd,p_value,Tmax,Tmax_rel,plot,host,mlg,buvo_gen_dist
P1S2,190320,racGR24,9.64E-12,2.85E-12,0.00237,0.567,1.25992896351308,P1,Oilseed rape,MLG17,0
P1S3,190320,racGR24,1.26E-11,3.64E-12,0.00196,0.527,1.60493827160494,P1,Oilseed rape,MLG16,0
P1S4,190320,racGR24,1.27E-11,4.26E-12,0.00626,0.538,1.73020207536865,P1,Oilseed rape,MLG17,0
P2S1,190320,racGR24,1.02E-11,2.53E-12,0.000457,0.503,1.21503934712912,P2,Oilseed rape,MLG15,0
P2S2,190320,racGR24,7.24E-12,2.47E-12,0.00852,0.583,1.36033487951126,P2,Oilseed rape,MLG17,0
P2S3,190314,racGR24,1.36E-11,6.42E-12,0.044,0.372,1.20589456205895,P2,Oilseed rape,MLG17,0
P2S4,190314,racGR24,2.88E-11,9E-12,0.00403,0.756,2.03774319066148,P2,Oilseed rape,MLG17,0
P3S1,190314,racGR24,1.9E-09,8.95E-10,0.0445,0.271,1.27649006622517,P3,Tobacco,MLG6,0.518211364746094
P3S2,190421,racGR24,6.93E-10,1.09E-10,1.49E-06,0.611,1.10163834951456,P3,Tobacco,MLG7,0.530706787109375
P3S3,190314,racGR24,1.55E-09,5.02E-10,0.00508,0.235,1.38492871690428,P3,Tobacco,MLG7,0.530706787109375
P3S4,190314,racGR24,1.03E-09,8.62E-11,1.5E-11,0.208,1.26315789473684,P3,Tobacco,MLG7,0.530706787109375
P3S5,190314,racGR24,4.27E-10,2E-10,0.0428,0.261,1.4985014985015,P3,Tobacco,MLG5,0.518217468261719
P4S1,190314,racGR24,1.34E-09,3.53E-10,0.000906,0.249,1.14620822622108,P4,Tobacco,MLG1,0.474693298339844
P4S2,190421,racGR24,8.79E-10,2.86E-10,0.00516,0.346,1.22565033272837,P4,Tobacco,MLG2,0.474693298339844
P4S3,190421,racGR24,5.15E-10,1.1E-10,0.000104,0.392,1.11493142746765,P4,Tobacco,MLG3,0.493125915527344
P4S4,190421,racGR24,6.91E-10,1.28E-10,1.51E-05,0.548,1.3220494053065,P4,Tobacco,MLG4,0.480943298339844
P5S1,190320,racGR24,2.29E-10,1.1E-10,0.0493,0.428,1.31017854815587,P5,Tobacco,MLG8,0.524481201171875
P5S2,190320,racGR24,1.84E-10,7.3E-11,0.019,0.551,1.36639292482628,P5,Tobacco,MLG9,0.511993408203125
P6S1,190320,racGR24,9.02E-09,3.59E-09,0.0199,0.31,1.31586661780872,P6,Hemp,MLG12,0.532745361328125
P6S2,190320,racGR24,2.18E-09,5.46E-10,0.000619,0.379,1.32990936555891,P6,Hemp,MLG11,0.520245361328125
P6S3,190320,racGR24,2.54E-09,6.28E-10,0.000593,0.412,1.41952662721893,P6,Hemp,MLG10,0.507745361328125
P7S1,190421,racGR24,1.27E-09,4.12E-10,0.00558,0.433,1.27481296758105,P7,Hemp,MLG13,0.532696533203125
P7S2,190421,racGR24,4.11E-10,1.8E-10,0.0315,0.165,1.38668098818475,P7,Hemp,MLG13,0.532696533203125
P7S3,190421,racGR24,7.53E-10,2.36E-10,0.00389,0.426,1.25541619156214,P7,Hemp,MLG14,0.545196533203125
P7S4,190421,racGR24,1.17E-10,3.97E-11,0.00791,0.35,1.21819413857361,P7,Hemp,MLG14,0.545196533203125
P2S2,190404,racGR24_elev,3.01E-12,6.2E-13,8.32E-05,0.601,1.17150395778364,P2,Oilseed rape,MLG17,0
P3S2,190404,racGR24_elev,1.08E-10,2.99E-11,0.00168,0.561,1.16815105094407,P3,Tobacco,MLG7,0.530706787109375
P4S1,190404,racGR24_elev,2.83E-10,1.14E-10,0.0293,0.576,1.20510095642933,P4,Tobacco,MLG1,0.474693298339844
P6S1,190404,racGR24_elev,6.17E-10,1.38E-10,0.000228,0.469,1.20581754076686,P6,Hemp,MLG12,0.532745361328125
Pram120,190503,racGR24_elev,,,,,,,,,
Pram76,190503,racGR24_elev,,,,,,,,,
P2S2,190404,Tobacco,0.0008631,0.00023346,0.00134,0.496,1.43423886611547,P2,Oilseed rape,MLG17,0
P3S2,190404,Tobacco,0.00158298,0.00023316,1.03E-06,0.484,1.55284390875585,P3,Tobacco,MLG7,0.530706787109375
P4S1,190404,Tobacco,0.00178049,0.00035477,5.73E-05,0.472,1.651104758213,P4,Tobacco,MLG1,0.474693298339844
P6S1,190404,Tobacco,0.00388918,0.00073109,3.31E-05,0.352,1.74242424242424,P6,Hemp,MLG12,0.532745361328125
Pram120,190503,Tobacco,,,,,,,,,
Pram76,190503,Tobacco,,,,,,,,,
