Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d56da2852e68380cdde928abde352427,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia_mesenterica
d5d8e89bdf2b1f7fae27fad3a4d01c61,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,unidentified,unidentified,unidentified
d7431769b3ec0d1253c8e42ecdb5a079,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,unidentified
d7c304b19d93a8fcd34e3f2c2e327c6c,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_aeria
d97d0d5b9f6e2b5b9ff3a2e01d870f27,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Strobilurus,Strobilurus_stephanocystis
d9df840ddd57881a3a856c9bd778f925,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,unidentified,unidentified
da923e7927bc71c35b4fa4df1b24f1f6,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Bjerkandera,Bjerkandera_adusta
dc5a4fdd5fd1c7410092b18d26cded6a,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus,Coprinus_phaeopunctatus
de72cda82c81219cb5fc9e99af558a40,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cylindrobasidium,unidentified
de8a647290daa02fa78ce69e07d2d05b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,unidentified
dfcfda122e3a41d02efa800ea2733793,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
e0b9ad85c96797d04fa8dff8ef69fcef,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unidentified
e11f0ff06c548673aa6b164edd890003,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus,Cyathus_olla
e2060ef138f41dfa93e49194786260ef,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Steccherinum,Steccherinum_ochraceum
e20e62a0af98762d19da378aec1124da,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
e23833c47e91f1545720c10800c6430e,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae
e2736b433b6b865c3e17e65e07807936,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unidentified
e2fea9d81cc117805e09bb119164b47f,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
e3266060ed478acb98f7a75607a5a046,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma_capnoides
e39a01de1b2af87ccaa886edcc193224,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unidentified
e3c70b09264a0767f2bd4d645bb7872b,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,Meripilus,Meripilus_giganteus
e3dd47ccf19ea9acf5f4b228de60882c,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,unidentified
e47230017c3155d34bf823c27ef15b76,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,unidentified
e5a90f0ba1140d7bb3ee7425df42037b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_sacchariolens
e5db9d640288512997c4a9dd5c8351c0,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
e5e6989061709a5bf9b2d28ccb0da080,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,unidentified
e6a20ce4bded036afc2f0664a8fdbc43,Fungi,Basidiomycota,Pucciniomycetes,unidentified,unidentified,unidentified,unidentified
e7dcf691c48fa40c36a84cdbce9ae5d5,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae
e85605e0444b4247b5406147b7c82a87,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,Thanatephorus_cucumeris
e91fe2def88080f1a3791e093a78cbe7,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
e9d2b7d83d4ace059422d62a851512fa,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,unidentified
ea636af6a02824a87d9d0a8b3431d891,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,unidentified,unidentified,unidentified
eb1aac73a324108a35b0e3b3d494f01f,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,unidentified
ebf0242be2c137d28c6309984dd6640e,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Basidioascus,unidentified
ec13f325e71207a57ae436cea8a5662d,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cylindrobasidium,Cylindrobasidium_evolvens
ecd34f413777ebc67d0e66a6951f41a7,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
ee2c2a730bab84f0c4a4395d72f24efb,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Trechisporales_fam_Incertae_sedis,Sistotremastrum,Sistotremastrum_guttuliferum
ee679c82dc4712d0fb4c1e9382449699,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,unidentified,unidentified,unidentified
eef9e3ee467c80fbbc44e6836bd66413,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma_australe
efd466832fbeda7e2b0b8eea4df22294,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_narcotica
f0cf1dc4a44fe1a772a90cea5eb57913,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,unidentified,unidentified
f1a14f3020c7fb64406a870367dca922,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
f1b6cb002c05104ab377ebb0c9a7b22a,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium_creatinivorum
f2e2c8e6af71160f1ac2e4e16916ad18,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,unidentified
f35026658fb68a82db1208278cc8076b,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,unidentified
f361feee1fa57becda1507bd316c82c8,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Agrocybe,Agrocybe_praecox
f3c2d552f3d31497ffdadb42edae49ad,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,unidentified
f3fe8b2ec68d0863007c7cb47184fbe3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Strobilurus,Strobilurus_stephanocystis
f5a41ff7e9a96fc375470157c51c236a,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus,Cyathus_stercoreus
f615ae8e7e42cd610a3a430ad007789e,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
f62017ba6e6d7b8789e72c557c36180e,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_hymenocystis
f626a77fcdc3600730d50831b36dd6f8,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia_frigida
fa1083c570becac987c83fee685032b9,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,Thanatephorus_cucumeris
faa5ee3503cce7bd375fc319ba683869,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,unidentified
fb0e1d1c85e9348a1ce2fcfdcc0e5afe,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_carnescens
fb526162cd7e962e3872791880600839,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Ballistosporomyces,unidentified
fb93be8d3c69d262e8b869457a7b6d79,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces_oryzicola
fc0e9fc76aa9b6fc3353cbf64c21a0cd,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_candolleana
fc4a5d7e90512d7424fb2e939f0d79dd,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,unidentified
fc6c6ac551bdac766a9d4c0cb45f8392,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unidentified
fc7026011dbf6b6f16d59805a9e712c9,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae
fcbc81871176fe8d67f59219d84d2784,Fungi,Basidiomycota,Tremellomycetes,Tremellales,unidentified,unidentified,unidentified
fdb2491a034c55eb993822b107adc1bb,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Cystobasidium,Cystobasidium_slooffiae
fe7c1b0454560b08a6131ff59115f010,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
ff048520c1e547f44ba20361782582d9,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Athelia,unidentified
ff19f73cfe7f037b0958469e855b5572,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,unidentified
ff33743f6192a0c45803dd111659a140,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,unidentified
ff465ca24f486ebbb99b704fe00f5483,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium_ramicola
0a5ff75fc8db8a971d4d051eebe76f37,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
0f365a7a3784ce4dad067f439d1d8b16,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
1d4cbedd4563bf3c9ca569d7e72c6b21,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
208c93118b817147ee46ef924d02cf85,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
21d918992135d29d458d1136a950dec2,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
23064a4ac044589bb31d9658955e242c,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
2a02f234a8aa617a63694162c3df7521,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
2a93a28a765c128a60a86af609680a20,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
30e00dd0d8f691506476fad0ea9e795b,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
4d0eb4511c057c6415440da0319ec9d8,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
51bb2f4174d52a60f8b007098a3c1ed4,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
5c12a8811228ed2185c251ed68cf4c71,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
5c742d1d07e9439ff937eb2f742090b8,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified
